period,year,eventID,givenlocation,correctedlocation
1954-1955,1954,5401,Burgeo Bank,Burgeo Bank
1954-1955,1954,5402,St. Pierre bank,St. Pierre Bank
1954-1955,1954,5403,St. Anthony,St. Anthony
1954-1955,1954,5404,La Scie,La Scie
1954-1955,1954,5405,Bonavista,Bonavista
1954-1955,1954,5406,Cape Pine,Cape Pine
1954-1955,1954,5407,Cape St. Mary's,Cape St. Mary's
1954-1955,1954,5408,Ballard Bank,Ballard Bank
1954-1955,1955,5501,Forteau,Forteau
1954-1955,1955,5502,Port Aux Choix,Port Aux Choix
1954-1955,1955,5503,Flowers Cove,Flowers Cove
1954-1955,1955,5504,Virgin Rocks,Virgin Rocks
1954-1955,1955,5505,S.E. Shoal,S.E. Shoal
1962-1966,1962,6201,Domino,Domino
1962-1966,1962,6202,Hopedale,Hopedale
1962-1966,1962,6203,Nain,Nain
1962-1966,1962,6204,White Islands,White Islands
1962-1966,1962,6205,Hamilton Island Bank,Hamilton Island Bank
1962-1966,1962,6206,Belle Island Bank,Belle Is. Bank
1962-1966,1962,6207,Center Bank,Center Bank
1962-1966,1962,6208,Dollarman Bank,Dollarman Bank
1962-1966,1962,6209,Cape Whittle Bank,Cape Whittle Bank
1962-1966,1962,6210,Baccalieu,Baccalieu Island
1962-1966,1963,6301,Western Gully,Western Gully
1962-1966,1963,6302,Port Aux Basques,Port Aux Basques
1962-1966,1963,6303,Penguin Islands,Penguin Islands
1962-1966,1963,6304,Off Rose Blanche,Off Rose Blanche
1962-1966,1963,6305,Burgeo bank,Burgeo bank
1962-1966,1963,6306,St. Pierre bank,St. Pierre Bank
1962-1966,1963,6307,Virgin Rocks,Virgin Rocks
1962-1966,1963,6308,Domino,Domino
1962-1966,1963,6309,Cape Harrison,Cape Harrison
1962-1966,1963,6310,Hopedale,Hopedale
1962-1966,1963,6311,Nain,Nain
1962-1966,1963,6312,Baie Johan Beetz,Baie Johan Beetz
1962-1966,1963,6313,La Tabatiere,La Tabatiere
1962-1966,1963,6314,St. Pauls PQ,St. Pauls PQ
1962-1966,1963,6315,Off Fermuse,Off Fermuse
1962-1966,1963,6316,Ballard Bank,Ballard Bank
1962-1966,1963,6317,Cape Fogo,Cape Fogo
1962-1966,1963,6318,Grey Islands,Grey Islands
1962-1966,1963,6319,Cape Pine,Cape Pine
1962-1966,1964,6401,N Cape Grand Bank,N Cape Grand Bank
1962-1966,1964,6402,E Grand Bank,E Grand Bank
1962-1966,1964,6403,Woofall Bank,Woolfall Bank
1962-1966,1964,6404,SE Hamilton Bank,SE Hamilton Bank
1962-1966,1964,6405,S Side Hawke Channel,S Side Hawke Channel
1962-1966,1964,6406,Funk Island Deep,Funk Is. Deep
1962-1966,1964,6407,N Grand Bank,N Grand Bank
1962-1966,1964,6408,Flemish Cap,Flemish Cap
1962-1966,1964,6409,Smokey,Smokey
1962-1966,1964,6410,Saglek Bay,Saglek Bay
1962-1966,1964,6411,Port Aux Choix,Port Aux Choix
1962-1966,1964,6412,Havre St. Pierre,Havre St. Pierre
1962-1966,1964,6413,Seven Islands,Seven Islands
1962-1966,1964,6414,Harries Bonavista,Harries Bonavista
1962-1966,1964,6415,Lark Harbour,Lark Harbour
1962-1966,1964,6416,Baccalieu Island,Baccalieu Island
1962-1966,1965,6501,Off Cape Race,Off Cape Race
1962-1966,1965,6502,Off Point Lance,Off Point Lance
1962-1966,1965,6503,Mortier bank,Mortier bank
1962-1966,1965,6504,Fortune,Fortune
1962-1966,1965,6505,Off Cape Spear,Off Cape Spear
1962-1966,1966,6601,S Hamilton Bank Inlet Bank,S Hamilton Bank Inlet Bank
1978-1991,1978,7801,Belle Island Bank,Belle Is. Bank
1978-1991,1978,7802,"Bay Robert, C. Bay","Bay Robert, C. Bay"
1978-1991,1978,7803,"Harbour Grace, C. Bay","Harbour Grace, C. Bay"
1978-1991,1978,7804,"Hearts Content, T. Bay","Hearts Content, T. Bay"
1978-1991,1978,7805,"Rantem, T. Bay","Rantem, T. Bay"
1978-1991,1978,7806,"Dildo, T. Bay","Dildo, T. Bay"
1978-1991,1979,7901,Funk Is. Bank,Funk Is. Bank
1978-1991,1979,7902,N Cape Grand Bank,N Cape Grand Bank
1978-1991,1979,7903,"Lance Cove, C. Bay","Lance Cove, C. Bay"
1978-1991,1979,7904,"Port-De-Grave, C. Bay","Port-De-Grave, C. Bay"
1978-1991,1979,7905,"Bell Is.,Kelly's Is., C. Bay","Belle Is.,Kelly's Is., C. Bay"
1978-1991,1980,8001,Northern St. Pierre Bank,Northern St. Pierre Bank
1978-1991,1980,8002,Funk Island Bank,Funk Is. Bank
1978-1991,1980,8003,N Grand Bank,N Grand Bank
1978-1991,1980,8004,"Calvert, Southern Shore","Calvert, Southern Shore"
1978-1991,1980,8005,"Old Perlican, T. Bay","Old Perlican, T. Bay"
1978-1991,1980,8006,"Bell Island, C. Bay","Belle Is., C. Bay"
1978-1991,1981,8101,"Bell Island, C. Bay","Belle Is., C. Bay"
1978-1991,1981,8102,SW Funk Is. Bank,SW Funk Is. Bank
1978-1991,1981,8103,NE Hamilton Bank,NE Hamilton Bank
1978-1991,1981,8104,SE Hamilton Bank,SE Hamilton Bank
1978-1991,1981,8105,N Funk Is. Bank,N Funk Is. Bank
1978-1991,1981,8106,SE Funk Is. Bank,SE Funk Is. Bank
1978-1991,1981,8107,"Hearts Desire, T. Bay","Hearts Desire, T. Bay"
1978-1991,1981,8108,"Islington, T. Bay","Islington, T. Bay"
1978-1991,1981,8109,"Orton Is., N. Labrador","Orton Is., N. Labrador"
1978-1991,1981,8110,"Iron Bound Is., Labrador","Iron Bound Is., Labrador"
1978-1991,1982,8201,East of Cape Banavista,East of Cape Banavista
1978-1991,1982,8202,NE Hamilton Bank,NE Hamilton Bank
1978-1991,1982,8203,SE Hamilton Bank,SE Hamilton Bank
1978-1991,1982,8204,N Funk Is. Bank,N Funk Is. Bank
1978-1991,1982,8205,S Funk Is. Bank,S Funk Is. Bank
1978-1991,1982,8206,N Cape Grand Bank,N Cape Grand Bank
1978-1991,1982,8207,"Old Bonaventure, T. Bay","Old Bonaventure, T. Bay"
1978-1991,1982,8208,"Seal Is., B. Bat","Seal Is., B. Bat"
1978-1991,1982,8209,"Exploits Bay, N.D. Bay","Exploits Bay, N.D. Bay"
1978-1991,1982,8210,"Exploits Hr., N.D.Bay","Exploits Hr., N.D.Bay"
1978-1991,1982,8211,"Fortune Hr., N.D.Bay","Fortune Hr., N.D.Bay"
1978-1991,1982,8212,"Bell Is., C. Bay","Belle Is., C. Bay"
1978-1991,1983,8301,NE Grand Bank,NE Grand Bank
1978-1991,1983,8302,N Funk Is. Bank,N Funk Is. Bank
1978-1991,1983,8303,Belle Isle Bank,Belle Is. Bank
1978-1991,1983,8304,N Cape Grand Bank,N Cape Grand Bank
1978-1991,1983,8305,"Horse Is., White Bay","Horse Is., White Bay"
1978-1991,1983,8306,"Bay Verte, White Bay","Bay Verte, White Bay"
1978-1991,1983,8307,"Lascie, White bay","Lascie, White bay"
1978-1991,1984,8401,Woofall Bank,Woolfall Bank
1978-1991,1984,8402,N Cape Grand Bank,N Cape Grand Bank
1978-1991,1984,8403,Cape Bonavista,Cape Bonavista
1978-1991,1984,8404,St Anthony,St. Anthony
1978-1991,1984,8405,Brehat Shoal,Brehat Shoal
1978-1991,1984,8406,Cape Bauld,Cape Bauld
1978-1991,1984,8407,Hamilton Bank,Hamilton Bank
1978-1991,1985,8501,Central Grand Bank,Central Grand Bank
1978-1991,1985,8502,Cape Bonavista,Cape Bonavista
1978-1991,1985,8503,Off Fogo,Off Fogo
1978-1991,1985,8504,"Seal Island, Labrador","Seal Island, Labrador"
1978-1991,1985,8505,"Sandy Bay, Labrador","Sandy Bay, Labrador"
1978-1991,1985,8506,"Battle Hr., Labrador","Battle Hr., Labrador"
1978-1991,1985,8507,"Portugal Cove, C. Bay","Portugal Cove, C. Bay"
1978-1991,1985,8508,"Hr. Main, C. Bay","Hr. Main, C. Bay"
1978-1991,1986,8601,Burgeo Bank,Burgeo Bank
1978-1991,1986,8602,S St. Pierre Bank,S St. Pierre Bank
1978-1991,1986,8603,S Green Bank,S Green Bank
1978-1991,1986,8604,N Cape Grand Bank,N Cape Grand Bank
1978-1991,1986,8605,E Funk Is. Bank,E Funk Is. Bank
1978-1991,1986,8606,Grey Islands,Grey Islands
1978-1991,1986,8607,SW Funk Is. Bank,SW Funk Is. Bank
1978-1991,1986,8608,"Pt. Lance, St. Mary's Bay","Pt. Lance, St. Mary's Bay"
1978-1991,1986,8609,"St. Bride's , P. Bay","St. Bride's , P. Bay"
1978-1991,1986,8610,"St. Mary's Wharf, St. Mary's Bay","St. Mary's Wharf, St. Mary's Bay"
1978-1991,1987,8701,N Funk Is. Bank,N Funk Is. Bank
1978-1991,1987,8702,NW Woolfall Bank,NW Woolfall Bank
1978-1991,1987,8703,E Cape Bonavista,E Cape Bonavista
1978-1991,1987,8704,N Funk Is. Bank,N Funk Is. Bank
1978-1991,1987,8705,Off NE Cape Bonavista,Off NE Cape Bonavista
1978-1991,1988,8801,NE Funk Is. Bank,NE Funk Is. Bank
1978-1991,1988,8802,"SW Arm, T. Bay","SW Arm, T. Bay"
1978-1991,1988,8803,Woo;fall Bank,Woolfall Bank
1978-1991,1988,8804,Virgin Rocks,Virgin Rocks
1978-1991,1988,8805,Off St. John's,Off St. John's
